Tweet_ID,Tweet_Date,User_Name,User_ID,Favorite_CT,Retweet_CT,score,Content
9.86361E+17,48:45.0,markisnthere,17380305,0,0,,"Hasbro is taking their sweet time burying the legacy of GIJoe. It's not like no one else is buying 80s childhood nostalgia these days, right?! Maybe they don't want to cut into the established Star Wars or Transformers markets. Who owns those? Oh...#soapbox https://t.co/TmBCIKQza7"
9.86288E+17,59:19.0,EvilOverlordCEO,8.80072E+17,0,0,,"@j_metzmeier @misoks #Telegraph?#Soapbox?#Larvnet? (I understand it's watching us all.)Actually, disregard original comment. I forgot I run a computer game company...  :)"
9.86052E+17,20:11.0,LadyPlaywright,77823894,0,0,,"“There’s no such thing as “Normal”, and you are not the stick by which all things should be measured.” Just a few thoughts on #communication #conflict and some ideas on how NOT to be a dick.  #amwriting #soapbox #MondayMotivation. https://t.co/W0Bu2JMbwd"
9.85751E+17,26:07.0,BecAllen23,4812299305,0,0,,@ComputerSays @ABCaustralia @abcnews Unsure how your tweet correlates. I presume you’re not sure either. #soapbox
9.85695E+17,41:38.0,SomethingFatt,16487152,0,0,,"the NBA needs to crack down on this fucking traveling n moving screen shit... oh and the stiff arms, the fake fouls, etc etc #tangent #SOAPBOX"
9.85692E+17,29:09.0,relthadon,1126009945,0,0,,#soapbox the #feeling I'd of a loss makes me never afraid to #play and more determined to #win… https://t.co/CZGTV1Fduo
9.85604E+17,42:33.0,kickazzladyx3,3400944106,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/1vqXlAuhyC
9.85351E+17,57:32.0,sbshortie,20605412,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/BxvvtN9vNT
9.85001E+17,45:44.0,Chels_baybay,29545513,0,0,,Nothing is more irritating than liberals who “want peace in Syria” but don’t understand the military strategy that it requires to overthrow the Assad regime and Russian influence #soapbox #goodnight
9.84969E+17,39:03.0,dma217,72966775,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/Y3ivjpnHM9
9.84947E+17,09:14.0,Opto_Bot,2271979111,0,0,,Q: Anyone know any jokes about sodium? A: Na#ScienceJokes #SoapBox
9.84902E+17,12:25.0,DeliaCabe,17040452,0,0,,@MeghnaWBUR You spoke with such clarity this afternoon. Amen to all you said. #soapbox
9.84657E+17,00:00.0,kevineaton1,41166201,0,0,,"Oklahomans can you do me a favor, please? If you’re not registered to vote then please get registered. If you’re registered then please vote. In the 2014 governor’s race 46% of voters cast a ballot. We’re better than this!#GetRegisteredAndVote #ImRegisteredToVoteAreYou #Soapbox"
9.84468E+17,27:20.0,InspiredbyJB,39766482,0,0,,"Hey @RobertGordonUni tomorrow, Fri 13th is the School of Engineering 3rd Year Mechanical Group Project Race Day. Soapbox Racers take the start at 9am on the grassed area by Gray's School of Art. #engineering #soapbox #mechanicalengineering"
9.84351E+17,44:02.0,RoseYarrell,9.1135E+17,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/CEjGSrv0w8
9.8434E+17,58:09.0,geogologue,7.15437E+17,0,0,,"This should not just be the domain of IT or the technically inclined. #Geographyteacher teach tools of thought needed to apply findings critically, with nuance and compassion, to think of social &amp; environmental consequences  #soapbox"
9.84306E+17,43:39.0,gsaleguy,83717415,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/B6JVbcg0gq
9.8426E+17,41:08.0,susitravl,33159299,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/FovOgUDLWq
9.84258E+17,33:16.0,boster1117,7.79885E+17,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/BNU7eeul7w
9.84241E+17,26:33.0,bharris1101,9.05617E+17,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/82pToxnU8s
9.84239E+17,18:27.0,myOKlife,466723278,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/r4Z2tSDT1O
9.84226E+17,26:57.0,laxer1215,779447089,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/sFtdQY1VhW
